Date,Info
1976,"Apple's history begins in the garage of Steve Jobs' childhood home in Los Altos, California, where Steve Wozniak and Jobs built  the first Apple I computers."
1977,"Apple Computer Inc. incorporates on January 3, 1977. Apple introduces its first successful product, the Apple II computer."
1978, Apple begins development of the unsuccessful Apple III.
1979,"Jef Raskin, a human interface expert who joined Apple a year prior, receives approval to begin work on the Macintosh project"
1980,"Apple launches its IPO and becomes a publicly traded company on December 12, 1980, selling 4.2 million shares for $22 each. "
1981,"Apple experiences its first internal shakeup, with Markkula replacing Scott as president, Jobs becoming chairman, and Wozniak taking a leave of absence."
1982,"Steve Jobs is forced out of the Lisa project and takes over control of the Macintosh project from Jef Raskin, who subsequently resigns."
1983,"Apple launches the Lisa on January 19, 1983, but sells only 100,000."
1984,"Apple's iconic ""1984"" commercial airs during a break in the third quarter of Super Bowl XVIII on January 22, 1984."
1985,"Steve Jobs resigns from Apple on September 16, 1985 following an internal power struggle with Apple's Board of Directors and then-CEO John Sculley"
1986,Apple released the Macintosh Plus and the Apple Apple IIGS.
1987,Apple released the Macintosh II in march.
1988,The Pink project started in 1988.
1989," The Christmas season of 1989 was the first in the company's history to have declining sales, which led to a 20% drop in Apple's stock price."
1990,"The company pivoted strategy and in October 1990 introduced three lower-cost models, the Macintosh Classic, the Macintosh LC, and the Macintosh Iisi."
1991,"Apple and IBM partner on October 2, 1991 to create PowerPC-based computers. Apple releases the PowerBook series on October 21, 1991, a two-decades-earlier precursor to the MacBook Pro."
1992,The PenLite is Apple's first prototype of a tablet computer. Created in 1992.
1993,John Sculley steps down as Apple CEO in May 1993 and is replaced by Michael Spindler.
1994,Apple releases its first PowerPC-based desktop computers and notebooks.
1995,Apple released the Power Macintosh 6200 / 6300 and 8115 in 1995.
1996,"Gil Amelio, a member of Apple's Board of Directors since 1994, succeeds Michael Spindler as Apple CEO on February 2, 1996."
1997,"Apple is in financial trouble, with its stock reaching a 12-year low in the second quarter. "
1998,"Apple announces the iMac on May 6, 1998 as the first consumer-facing product since Steve Jobs returned."
1999,"Apple releases the iBook on June 21, 1999 based on the colorful iMac design. "
2000,"Steve Jobs announces at Macworld that he has elected to be Apple's permanent CEO on January 5, 2000, dropping his ""interim"" designation."
2001,"Steve Jobs introduces the iTunes media player on January 9, 2001.  OS X is released on March 24, 2001 based on the NeXTSTEP platform. Steve Jobs announces the iPod on October 23, 2001."
2002,"In 2002, Apple purchased Nothing Real for their advanced digital compositing application Shake, as well as Emagic for the music productivity application Logic."
2003,"Apple launches the iTunes Store on April 28, 2003 for digital music downloads."
2004,"Apple introduces the iPod mini on January 15, 2004."
2005,"Apple introduces the iPod shuffle on January 11, 2005. Apple introduces the iPod nano on September 7, 2005."
2006,"Apple releases the MacBook Pro with Intel architecture on January 10, 2006. Apple releases the MacBook, the successor to the iBook, on May 16, 2006."
2007,"Steve Jobs famously introduces the iPhone on January 9, 2007. Apple releases the Apple TV on January 9, 2007."
2008," Apple launches MacBook Air on January 29, 2008 as its thinnest notebook ever. Apple launches the App Store on July 10, 2008."
2009,"On January 14, 2009, Jobs announced in an internal memo that he would be taking a six-month medical leave of absence "
2010," Following years of speculation, Steve Jobs introduces the iPad on January 27, 2010."
2011,"Apple passes oil giant ExxonMobil on August 9, 2011 to become the world's most valuable publicly traded company, with a market cap exceeding $337 billion. Steve Jobs passes away on October 5, 2011."
2012,"Apple Maps launches on iOS 6 to much criticism, leading to a public apology from Tim Cook and the resignation of iOS software chief Scott Forstall."
2013,"In May 2013, Apple entered the top ten of the Fortune 500 list of companies for the first time"
2014,"Tim Cook introduces the Apple Watch on September 9, 2014 as the company's first wearable device.  Apple Pay launches in the United States on October 20, 2014."
2015,"Tim Cook introduces Apple Music, the company's first subscription-based streaming music service, at WWDC 2015."
2016,Apple releases the iPhone SE and smaller iPad Pro as it battles the FBI over smartphone encryption.
2017,"In June 2017, Apple announced the HomePod, its smart speaker"
2018,Apple became the first publicly traded U.S. company to be valued at over $1 trillion in August 2018
2019,Apple lauched the Apple Card in 2019.
2020,"On August 19, 2020, Apple's share price briefly topped $467.77, making Apple the first US company with a market capitalization of $2 trillion."
2021,"As of January 2021, there are 1.65 billion Apple products in active use."
2022,Apple became the first publicly traded U.S. company to be valued $3 trillion in January 2022.
